time,num_goroutine,alloc,heap_alloc,num_gc,pause_total_ns
2026-02-15T10:08:11+08:00,39,113272560,113272560,7,0
2026-02-15T10:08:16+08:00,37,109409368,109409368,9,0
2026-02-15T10:08:21+08:00,37,100516696,100516696,11,0
2026-02-15T10:08:26+08:00,38,148015896,148015896,12,0
2026-02-15T10:08:31+08:00,38,128674728,128674728,14,0
2026-02-15T10:08:36+08:00,37,106805824,106805824,16,0
2026-02-15T10:08:41+08:00,39,157432280,157432280,17,0
2026-02-15T10:08:46+08:00,38,107881832,107881832,19,0
2026-02-15T10:08:51+08:00,38,158835328,158835328,20,0
2026-02-15T10:08:56+08:00,37,183209088,183209088,21,0
2026-02-15T10:09:01+08:00,37,238173352,238173352,23,0
2026-02-15T10:09:06+08:00,43,118818784,118818784,24,0
2026-02-15T10:09:11+08:00,39,165380696,165380696,25,119100
2026-02-15T10:09:16+08:00,38,133980904,133980904,27,119100
2026-02-15T10:09:21+08:00,37,175816936,175816936,28,119100
2026-02-15T10:09:26+08:00,38,135567152,135567152,30,119100
2026-02-15T10:09:31+08:00,39,153153016,153153016,31,119100
2026-02-15T10:09:36+08:00,38,194972688,194972688,32,119100
2026-02-15T10:09:41+08:00,37,139726720,139726720,34,119100
2026-02-15T10:09:46+08:00,37,153279360,153279360,35,119100
2026-02-15T10:09:51+08:00,37,193780384,193780384,37,119100
2026-02-15T10:09:56+08:00,38,314926920,314926920,37,119100
2026-02-15T10:10:01+08:00,37,276430728,276430728,38,119100
2026-02-15T10:10:06+08:00,42,225233472,225233472,39,119100
2026-02-15T10:10:11+08:00,38,358734424,358734424,39,119100
2026-02-15T10:10:16+08:00,38,136074392,136074392,41,119100
2026-02-15T10:10:21+08:00,38,127397864,127397864,42,119100
2026-02-15T10:10:26+08:00,37,157823424,157823424,43,119100
2026-02-15T10:10:31+08:00,38,188541896,188541896,44,5420300
2026-02-15T10:10:36+08:00,68,197654672,197654672,45,5420300
2026-02-15T10:10:41+08:00,37,208563704,208563704,47,5420300
2026-02-15T10:10:46+08:00,38,328903864,328903864,47,5420300
2026-02-15T10:10:51+08:00,38,274849632,274849632,48,5420300
2026-02-15T10:10:56+08:00,38,218921632,218921632,49,5420300
2026-02-15T10:11:01+08:00,39,343835072,343835072,49,5420300
2026-02-15T10:11:06+08:00,39,281759264,281759264,50,5420300
2026-02-15T10:11:11+08:00,38,128652504,128652504,51,5420300
2026-02-15T10:11:16+08:00,37,150676304,150676304,52,5420300
2026-02-15T10:11:21+08:00,38,149117264,149117264,53,5420300
2026-02-15T10:11:26+08:00,39,172304472,172304472,54,5420300
2026-02-15T10:11:31+08:00,37,164403544,164403544,55,5420300
2026-02-15T10:11:36+08:00,38,286665408,286665408,56,5420300
2026-02-15T10:11:41+08:00,37,125117800,125117800,57,5420300
2026-02-15T10:11:46+08:00,38,137393384,137393384,58,5420300
2026-02-15T10:11:51+08:00,37,156685872,156685872,59,5420300
2026-02-15T10:11:56+08:00,39,177430736,177430736,60,5420300
2026-02-15T10:12:01+08:00,37,180107744,180107744,61,5420300
2026-02-15T10:12:06+08:00,56,139333232,139333232,62,5420300
2026-02-15T10:12:11+08:00,38,149213488,149213488,63,5420300
2026-02-15T10:12:16+08:00,37,153679904,153679904,64,5420300
2026-02-15T10:12:21+08:00,38,269309552,269309552,64,5420300
2026-02-15T10:12:26+08:00,38,243397928,243397928,66,5420300
2026-02-15T10:12:31+08:00,38,362414968,362414968,66,5420300
2026-02-15T10:12:36+08:00,40,291635200,291635200,67,5420300
2026-02-15T10:12:41+08:00,38,415687408,415687408,67,5420300
2026-02-15T10:12:46+08:00,39,203891096,203891096,68,5420300
2026-02-15T10:12:51+08:00,39,158703712,158703712,69,5420300
2026-02-15T10:12:56+08:00,37,224795440,224795440,69,5420300
2026-02-15T10:13:01+08:00,38,182790248,182790248,70,5420300
